"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Kog'Maw","Middle",1,"2.7%","0.0%","5.4%","100%","100%",1,2,9,5,"50.0%","20.0%","0%",247,221,3,8.6,"25.7%",625,"28.0%","20.5%",0.46,0.21
"LeBlanc","Middle",2,"5.4%","0.0%","5.4%","50%","100%",3,3,9,4,"54.5%","13.0%","0%",-8,194,4,8,"22.2%",404,"30.5%","21.2%",0.42,0.29
"Lee Sin","Jungle",1,"2.7%","48.6%","81.1%","0%","100%",1,5,3,0.8,"80.0%","21.7%","0%",-30,115,8,5.9,"19.3%",226,"17.3%","21.9%",0.44,0.13
"Lee Sin","Middle",4,"10.8%","48.6%","81.1%","50%","50%",9,11,29,3.5,"61.3%","19.6%","25%",216,-168,-4.8,8.2,"26.1%",344,"19.7%","22.9%",0.4,0.16
"Lee Sin","Top",7,"18.9%","48.6%","81.1%","71%","29%",36,17,48,4.9,"65.6%","21.0%","29%",429,68,0.4,8.1,"24.5%",428,"22.0%","23.7%",0.44,0.23
"Leona","Support",12,"32.4%","18.9%","51.4%","58%","67%",9,54,108,2.2,"61.9%","29.8%","25%",94,131,0,1.2,"3.0%",121,"6.6%","9.1%",1.54,0.39
"Lillia","Jungle",2,"5.4%","8.1%","13.5%","0%","50%",2,6,3,0.8,"71.4%","18.2%","0%",-403,-523,-9.5,6.1,"16.9%",198,"17.0%","20.0%",0.39,0.37
"Lucian","Middle",5,"13.5%","43.2%","62.2%","80%","20%",26,8,28,6.8,"61.4%","17.0%","0%",308,150,4.6,9.8,"28.4%",623,"29.3%","26.3%",0.46,0.26
"Lucian","Top",2,"5.4%","43.2%","62.2%","100%","100%",8,4,13,5.3,"52.5%","66.7%","50%",1640,974,40.5,8.9,"21.1%",560,"26.0%","22.7%",0.44,0.13
"Lulu","Support",1,"2.7%","2.7%","5.4%","0%","0%",0,2,1,0.5,"16.7%","11.1%","0%",-475,-186,2,1.4,"4.0%",98,"6.5%","8.3%",1.18,0.57
"Morgana","Jungle",11,"29.7%","62.2%","91.9%","73%","45%",23,26,82,4,"68.6%","19.0%","18%",34,464,9.5,6.5,"17.3%",394,"20.5%","17.9%",0.6,0.36
"Nautilus","Support",21,"56.8%","13.5%","70.3%","48%","29%",16,75,177,2.6,"61.1%","23.5%","19%",-46,2,-0.9,1.2,"3.2%",148,"8.1%","8.9%",1.45,0.33
"Nidalee","Jungle",8,"21.6%","10.8%","32.4%","38%","50%",28,23,42,3,"76.9%","18.1%","38%",-148,-149,-1.4,6.3,"17.6%",415,"25.7%","20.9%",0.24,0.44
"Nocturne","Middle",1,"2.7%","40.5%","56.8%","100%","100%",5,1,7,12,"57.1%","25.0%","0%",-211,51,11,8.5,"19.1%",368,"15.9%","20.1%",0.41,0.12
"Nocturne","Top",5,"13.5%","40.5%","56.8%","0%","60%",12,23,24,1.6,"64.3%","20.4%","20%",-256,-59,-3,7.5,"23.2%",332,"21.1%","22.9%",0.4,0.12
"Olaf","Jungle",4,"10.8%","5.4%","16.2%","25%","75%",12,13,19,2.4,"57.4%","21.3%","25%",186,462,11.8,5.9,"15.6%",276,"14.9%","17.7%",0.34,0.34
"Orianna","Middle",11,"29.7%","29.7%","59.5%","45%","45%",23,28,65,3.1,"65.2%","18.1%","9%",-233,-158,-0.6,8.7,"26.6%",417,"26.2%","23.7%",0.4,0.2
